model,layer_index,layer_ordinal,relative_depth,estimator,raw_or_pc,mechanism_a,mechanism_b,cosine
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,prefix_injection,refusal_suppression,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,prefix_injection,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,prefix_injection,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,prefix_injection,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,prefix_injection,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,refusal_suppression,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,refusal_suppression,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,refusal_suppression,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,refusal_suppression,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,persona_roleplay,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,persona_roleplay,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,persona_roleplay,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,encoding_obfuscation,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,encoding_obfuscation,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,payload_splitting,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,prefix_injection,refusal_suppression,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,prefix_injection,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,prefix_injection,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,prefix_injection,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,prefix_injection,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,refusal_suppression,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,refusal_suppression,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,refusal_suppression,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,refusal_suppression,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,persona_roleplay,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,persona_roleplay,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,persona_roleplay,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,encoding_obfuscation,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,encoding_obfuscation,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,payload_splitting,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,prefix_injection,refusal_suppression,0.0
