model,layer_index,layer_ordinal,relative_depth,is_fixed_layer,gdef,level,name,metric,value
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,prefix_injection,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,prefix_injection,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,prefix_injection,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,refusal_suppression,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,refusal_suppression,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,refusal_suppression,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,persona_roleplay,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,persona_roleplay,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,persona_roleplay,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,encoding_obfuscation,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,encoding_obfuscation,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,encoding_obfuscation,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,payload_splitting,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,payload_splitting,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,payload_splitting,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,distractors_negated,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,distractors_negated,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,mechanism,distractors_negated,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,category,CO,mean_coverage,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,category,CO,minimum_coverage,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,category,CO,coverage_standard_deviation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,category,CO,resultant_length,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,category,MG,mean_coverage,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,category,MG,minimum_coverage,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,category,MG,coverage_standard_deviation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,unit_normalized,category,MG,resultant_length,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,prefix_injection,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,prefix_injection,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,prefix_injection,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,refusal_suppression,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,refusal_suppression,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,refusal_suppression,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,persona_roleplay,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,persona_roleplay,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,persona_roleplay,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,encoding_obfuscation,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,encoding_obfuscation,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,encoding_obfuscation,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,payload_splitting,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,payload_splitting,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,payload_splitting,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,distractors_negated,C_k,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,distractors_negated,parallel_energy_fraction,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,mechanism,distractors_negated,residual_energy_fraction,1.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,category,CO,mean_coverage,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,category,CO,minimum_coverage,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,category,CO,coverage_standard_deviation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,category,CO,resultant_length,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,category,MG,mean_coverage,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,category,MG,minimum_coverage,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,category,MG,coverage_standard_deviation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,False,raw_magnitude,category,MG,resultant_length,0.0
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,prefix_injection,C_k,0.8704900741577148
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,prefix_injection,parallel_energy_fraction,0.7577529692071039
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,prefix_injection,residual_energy_fraction,0.2422470307928961
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,refusal_suppression,C_k,0.8763508796691895
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,refusal_suppression,parallel_energy_fraction,0.7679908642969622
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,refusal_suppression,residual_energy_fraction,0.23200913570303783
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,persona_roleplay,C_k,0.6063947677612305
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,persona_roleplay,parallel_energy_fraction,0.36771461436819664
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,persona_roleplay,residual_energy_fraction,0.6322853856318034
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,encoding_obfuscation,C_k,0.5351884365081787
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,encoding_obfuscation,parallel_energy_fraction,0.28642666257206884
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,encoding_obfuscation,residual_energy_fraction,0.7135733374279312
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,payload_splitting,C_k,0.7989308834075928
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,payload_splitting,parallel_energy_fraction,0.6382905564624366
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,payload_splitting,residual_energy_fraction,0.3617094435375634
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,distractors_negated,C_k,0.7539413571357727
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,distractors_negated,parallel_energy_fraction,0.5684275699997308
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,mechanism,distractors_negated,residual_energy_fraction,0.43157243000026924
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,False,unit_normalized,category,CO,mean_coverage,0.7844119071960449
